review_id,dt,rating,sentiment,review
1,27/04/11 04:00,5,positive,Good Quality Dog Food
2,07/09/12 04:00,1,negative,Not as Advertised
3,18/08/08 04:00,4,neutral,Delight says it all
4,13/06/11 04:00,2,neutral,Cough Medicine
5,21/10/12 04:00,5,positive,Great taffy
6,12/07/12 04:00,4,neutral,Nice Taffy
7,20/06/12 04:00,5,positive,Great!  Just as good as the expensive brands!
8,03/05/12 04:00,5,positive,"Wonderful, tasty taffy"
9,23/11/11 04:00,5,positive,Yay Barley
10,26/10/12 04:00,5,positive,Healthy Dog Food
11,08/02/05 03:00,5,positive,The Best Hot Sauce in the World
12,27/08/10 04:00,5,positive,My cats LOVE this diet food better than their regular food
13,13/06/12 04:00,1,negative,My Cats Are Not Fans of the New Food
14,05/11/10 03:00,4,neutral,fresh and greasy!
15,12/03/10 03:00,5,positive,Strawberry Twizzlers - Yummy
16,29/12/09 03:00,5,positive,"Lots of twizzlers, just what you expect."
17,20/09/12 04:00,2,neutral,poor taste
18,16/08/12 04:00,5,positive,Love it!
19,23/12/11 04:00,5,positive,GREAT SWEET CANDY!
20,08/10/11 04:00,5,positive,Home delivered twizlers
21,16/08/11 04:00,5,positive,Always fresh
22,25/06/11 04:00,5,positive,TWIZZLERS
23,09/05/11 04:00,5,positive,Delicious product!
24,04/05/11 04:00,5,positive,Twizzlers
25,20/01/11 03:00,5,positive,Please sell these in Mexico!!
26,29/10/10 04:00,5,positive,Twizzlers - Strawberry
27,25/03/12 04:00,1,negative,Nasty No flavor
28,16/03/12 04:00,4,neutral,Great Bargain for the Price
29,05/06/12 04:00,5,positive,YUMMY!
30,08/02/05 03:00,5,positive,The Best Hot Sauce in the World
31,14/02/11 03:00,5,positive,Great machine!
32,29/10/10 04:00,5,positive,THIS IS MY TASTE...
33,13/11/06 03:00,4,neutral,Best of the Instant Oatmeals
34,17/12/06 03:00,4,neutral,Good Instant
35,30/03/07 04:00,5,positive,Great Irish oatmeal for those in a hurry!
36,11/05/08 04:00,4,neutral,satisfying
37,27/09/07 04:00,5,positive,Love Gluten Free Oatmeal!!!
38,31/03/09 04:00,5,positive,its oatmeal
39,21/10/12 04:00,4,neutral,GOOD WAY TO START THE DAY....
40,28/09/11 04:00,5,positive,Wifes favorite Breakfast
41,22/04/11 04:00,5,positive,Why wouldnt you buy oatmeal from Mcanns? Tastes great!
42,07/04/11 04:00,5,positive,Oatmeal For Oatmeal Lovers
43,14/10/10 04:00,5,positive,Food-Great
44,13/10/09 04:00,5,positive,Good Hot Breakfast
45,02/05/08 04:00,5,positive,Great taste and convenience
46,11/03/08 03:00,3,neutral,Hearty Oatmeal
47,19/10/07 04:00,5,positive,good
48,12/01/08 03:00,3,neutral,Mushy
49,07/10/07 04:00,4,neutral,Very good but next time I wont order the Variety Pack
